"","ticker","etf_name"
"386","315480","KBSTAR 200Ä¿¹Â´ÏÄÉÀÌ¼Ç¼­ºñ½º"
"387","322120","KINDEX ½º¸¶Æ®Ä÷¸®Æ¼"
"388","140580","KBSTAR ¿ì·®¾÷Á¾"
"389","226380","KINDEX ÇÑ·ù"
"390","247780","KODEX °¡Ä¡ÅõÀÚ"
"391","301400","ARIRANG ÄÚ½º´Ú150"
"392","261920","KINDEX ÇÊ¸®ÇÉMSCI(ÇÕ¼º)"
"393","098560","TIGER ¹æ¼ÛÅë½Å"
"394","291660","KODEX China H¼±¹°ÀÎ¹ö½º(H)"
"395","292120","TIGER Áß¼ÒÇü"
"396","256450","ARIRANG ½ÉÃµÂ÷ÀÌ³Ø½ºÆ®(ÇÕ¼º)"
"397","299070","KINDEX ±¹Ã¤¼±¹°10³âÀÎ¹ö½º"
"398","139290","TIGER 200 °æ±â¼ÒºñÀç"
"399","321410","KODEX ¸ÖÆ¼¿¡¼ÂÇÏÀÌÀÎÄÄ(H)"
"400","267450","KBSTAR ¹Ì±¹Àå±â±¹Ã¤¼±¹°ÀÎ¹ö½º(H)"
"401","269370","TIGER S&P±Û·Î¹úÀÎÇÁ¶ó(ÇÕ¼º)"
"402","138530","TIGER LG±×·ì+ÆÝ´õ¸àÅÐ"
"403","252000","TIGER 200µ¿ÀÏ°¡Áß"
"404","140570","KBSTAR ¼öÃâÁÖ"
"405","300300","KBSTAR KQ¸ð¸àÅÒ·Î¿ìº¼"
"406","195970","ARIRANG ¼±Áø±¹MSCI(ÇÕ¼º H)"
"407","292140","TIGER Áß¼ÒÇü°¡Ä¡"
"408","211210","¸¶ÀÌÆ¼ ÄÚ½ºÇÇ°í¹è´ç"
"409","227560","TIGER 200 »ýÈ°¼ÒºñÀç"
